date,course,off_time,race_id,winner,winner_sp,VELO_pick,VELO_result,VELO_pos,VELO_sp,VELO_pnl,VELO_tier,VELO_vp,VELO_mds,VELO_imp,VELO_place,VELO_cashrun_class,VELO_cashrun_score,VELO_rp_core_support_count,VELO_all_tipster_support_count,SPOTLIGHT_pick,SPOTLIGHT_result,SPOTLIGHT_pos,SPOTLIGHT_pnl,POSTDATA_pick,POSTDATA_result,POSTDATA_pos,POSTDATA_pnl,TOPSPEED_pick,TOPSPEED_result,TOPSPEED_pos,TOPSPEED_pnl,RP_RATINGS_pick,RP_RATINGS_result,RP_RATINGS_pos,RP_RATINGS_pnl,core_consensus_pick_count
2026-05-06,Chester,1:30,rac_11928865,Adonius (IRE),4.33,Hickory Lad,PLACE,2,3.75,-1.0,B,0.2913,0.1405,0.2585,0.7954,,,2,3,Final Appeal,LOSE,5,-1.0,Adonius,WIN,1,3.33,Hickory Lad,PLACE,2,-1.0,Hickory Lad,PLACE,2,-1.0,2
2026-05-06,Chester,2:05,rac_11928852,Supido (FR),8.5,Lir Speciale,PLACE,3,19.0,-1.0,C,0.132,0.0092,0.0773,0.5814,,,0,0,Partisan Hero,LOSE,7,-1.0,Bellarchi,LOSE,9,-1.0,The Angel King,LOSE,6,-1.0,Percy's Lad,LOSE,13,-1.0,1
2026-05-06,Chester,2:35,rac_11928839,Amelia Earhart (IRE),2.62,Amelia Earhart,WIN,1,2.62,1.62,B,0.3423,0.0622,0.0426,0.9251,,,0,2,I'm The One,PLACE,2,-1.0,I'm The One,PLACE,2,-1.0,Sugar Island,LOSE,4,-1.0,Sugar Island,LOSE,4,-1.0,2
2026-05-06,Chester,3:05,rac_11928826,Benvenuto Cellini (IRE),1.22,Benvenuto Cellini,WIN,1,1.22,0.21999999999999997,A,0.3551,0.3364,0.0788,0.9256,,,4,12,Benvenuto Cellini,WIN,1,0.21999999999999997,Benvenuto Cellini,WIN,1,0.21999999999999997,Benvenuto Cellini,WIN,1,0.21999999999999997,Benvenuto Cellini,WIN,1,0.21999999999999997,4
2026-05-06,Chester,3:40,rac_11928878,Cherry Baker (GB),26.0,Tricky Tel,PLACE,3,17.0,-1.0,D,0.128,0.008,0.0385,0.2497,,,0,0,Alaminos,LOSE,7,-1.0,Alaminos,LOSE,7,-1.0,Watcha Snoop,LOSE,12,-1.0,Alaminos,LOSE,7,-1.0,3
2026-05-06,Chester,4:10,rac_11928904,Tornado Tower (GB),2.62,Arabian Desert,LOSE,5,1.73,-1.0,A,0.3566,0.3107,0.3808,0.9657,,,2,6,Tornado Tower,WIN,1,1.62,Arabian Desert,LOSE,5,-1.0,Arabian Desert,LOSE,5,-1.0,,,,0.0,2
2026-05-06,Chester,4:45,rac_11928891,Dance In The Storm (GB),3.5,Rare Change,LOSE,9,17.0,-1.0,D,0.1269,0.0112,0.0426,0.2928,,,3,7,Rare Change,LOSE,9,-1.0,Pietro,PLACE,3,-1.0,Rare Change,LOSE,9,-1.0,Rare Change,LOSE,9,-1.0,3
2026-05-06,Fontwell,5:42,rac_11926902,Miss Goldfire (IRE),5.0,Bradman,UNMATCHED,,,0.0,C,0.1719,0.0111,0.0655,0.3254,,,0,0,Mistress Fox,PLACE,2,-1.0,Washington Singer,PU,PU,-1.0,Bread And Butter,LOSE,6,-1.0,Miss Goldfire,WIN,1,4.0,1
2026-05-06,Fontwell,6:12,rac_11926863,La Cadalora (GB),2.38,Flash Man,PLACE,2,2.38,-1.0,C,0.1698,0.2021,0.3281,0.669,,,2,5,Flash Man,PLACE,2,-1.0,Mega Etoile,PLACE,3,-1.0,,,,0.0,Flash Man,PLACE,2,-1.0,2
2026-05-06,Fontwell,6:42,rac_11926876,Ballyfinn (IRE),7.5,Stadmallen,LOSE,4,11.0,-1.0,D,0.1946,0.02,0.1763,0.4714,,,0,0,Gata Ban,PLACE,2,-1.0,Gata Ban,PLACE,2,-1.0,,,,0.0,Gata Ban,PLACE,2,-1.0,3
2026-05-06,Fontwell,7:12,rac_11926915,Scoresby (GB),11.0,Rapid Mission,UNMATCHED,,,0.0,B,0.3127,0.1044,0.1403,0.7309,,,2,4,Answer That,LOSE,6,-1.0,Rapid Mission,UNMATCHED,,0.0,,,,0.0,Rapid Mission,UNMATCHED,,0.0,2
2026-05-06,Fontwell,7:42,rac_11926889,Mersey Street (IRE),12.0,Wellwillya,LOSE,4,9.0,-1.0,D,0.1902,0.0085,0.035,0.5325,,,0,0,Majestic Moment,UR,UR,-1.0,Majestic Moment,UR,UR,-1.0,Alto Alto,LOSE,7,-1.0,Known Warrior,LOSE,5,-1.0,2
2026-05-06,Fontwell,8:12,rac_11926928,Magnifix Du Moulin (FR),10.0,Major Dino,PLACE,3,3.5,-1.0,B,0.263,0.174,0.1428,0.5143,,,3,7,Major Dino,PLACE,3,-1.0,Major Dino,PLACE,3,-1.0,,,,0.0,Major Dino,PLACE,3,-1.0,3
2026-05-06,Kelso,1:55,rac_11926980,Kashchei (GB),5.0,Kashchei,WIN,1,5.0,4.0,B,0.3805,0.053,0.0153,0.9953,,,0,1,Dartmouth Castle,UR,UR,-1.0,Dartmouth Castle,UR,UR,-1.0,Dartmouth Castle,UR,UR,-1.0,Dartmouth Castle,UR,UR,-1.0,4
2026-05-06,Kelso,2:25,rac_11926967,Walk On Quest (IRE),1.83,The Clonmel Kid,PLACE,3,3.2,-1.0,B,0.3922,0.1051,0.0254,0.9987,,,0,4,Presentandcounting,PLACE,2,-1.0,Walk On Quest,WIN,1,0.8300000000000001,Presentandcounting,PLACE,2,-1.0,Walk On Quest,WIN,1,0.8300000000000001,2
2026-05-06,Kelso,2:55,rac_11926954,Jericoacoara (FR),4.0,Starlyte,PLACE,3,12.0,-1.0,B,0.3263,0.0269,0.0803,0.8281,,,2,3,Kilmore Rock,PLACE,2,-1.0,Starlyte,PLACE,3,-1.0,Starlyte,PLACE,3,-1.0,Kilmore Rock,PLACE,2,-1.0,2
2026-05-06,Kelso,3:25,rac_11926993,Abbey Scope (GB),4.0,Joto,UR,UR,5.0,-1.0,B,0.2451,0.0204,0.0875,0.7072,,,0,0,Lester Mail,LOSE,4,-1.0,Fairly Fulling,UNMATCHED,,0.0,Nitty Gritty,PLACE,2,-1.0,Livano Bello,UNMATCHED,,0.0,1
2026-05-06,Kelso,4:00,rac_11955905,Thorneylands (IRE),3.0,Long Time Listener,LOSE,7,8.5,-1.0,B,0.2993,0.0159,0.0854,0.5853,,,0,0,Thorneylands,WIN,1,2.0,Maillot Blanc,WIN,1,3.0,,,,0.0,Thorneylands,WIN,1,2.0,2
2026-05-06,Kelso,4:32,rac_11926941,Singapore Trip (FR),4.0,Flash Du Pistolet,LOSE,5,3.25,-1.0,B,0.2939,0.0351,0.06,0.7036,,,2,3,Glory And Honour,LOSE,7,-1.0,Glory And Honour,LOSE,7,-1.0,Flash Du Pistolet,LOSE,5,-1.0,Flash Du Pistolet,LOSE,5,-1.0,2
2026-05-06,Kelso,5:02,rac_11927006,Settle Down Jill (IRE),11.0,Settle Down Jill,WIN,1,11.0,10.0,A,0.3315,0.0314,0.1105,0.6596,,,1,2,Whatdeawant,LOSE,7,-1.0,Whatdeawant,LOSE,7,-1.0,Settle Down Jill,WIN,1,10.0,Whatdeawant,LOSE,7,-1.0,3
2026-05-06,Kelso,5:32,rac_11927019,Datstheholyallofit (IRE),10.0,Allroadsleadtorome,LOSE,5,2.38,-1.0,B,0.3094,0.2508,0.3213,0.7729,,,2,7,Allroadsleadtorome,LOSE,5,-1.0,Datstheholyallofit,WIN,1,9.0,,,,0.0,Allroadsleadtorome,LOSE,5,-1.0,2
2026-05-06,Kempton (AW),6:00,rac_11931829,Sceptic (IRE),3.0,Marchetti,LOSE,8,21.0,-1.0,C,0.1968,0.0141,0.0187,0.5133,,,0,0,Sceptic,WIN,1,2.0,Sceptic,WIN,1,2.0,,,,0.0,King Of Speed,LOSE,5,-1.0,2
2026-05-06,Kempton (AW),6:30,rac_11931803,Blues And Royals (IRE),2.38,Victory Ace,PLACE,2,8.0,-1.0,X,0.176,0.0131,0.0121,0.3029,,,2,6,Victory Ace,PLACE,2,-1.0,Melody De Vega,LOSE,5,-1.0,Victory Ace,PLACE,2,-1.0,Blues And Royals,WIN,1,1.38,2
2026-05-06,Kempton (AW),7:00,rac_11931790,Brilliant Star (GB),1.08,Brilliant Star,WIN,1,1.08,0.08000000000000007,A,0.5163,0.6773,0.574,1.0,,,3,14,Brilliant Star,WIN,1,0.08000000000000007,Brilliant Star,WIN,1,0.08000000000000007,,,,0.0,Brilliant Star,WIN,1,0.08000000000000007,3
2026-05-06,Kempton (AW),7:30,rac_11931816,Venetian Gold (IRE),2.75,Venetian Gold,WIN,1,2.75,1.75,C,0.1792,0.1626,0.1782,0.3348,,,2,6,Venetian Gold,WIN,1,1.75,Venetian Gold,WIN,1,1.75,,,,0.0,,,,0.0,2
2026-05-06,Kempton (AW),8:00,rac_11931777,I'm Workin On It (GB),4.5,Kit Gabriel,PLACE,2,12.0,-1.0,C,0.1909,0.0131,0.0773,0.497,,,1,1,Ribenska,LOSE,9,-1.0,Ribenska,LOSE,9,-1.0,Kit Gabriel,PLACE,2,-1.0,Mr Baloo,LOSE,8,-1.0,2
2026-05-06,Kempton (AW),8:30,rac_11931842,Yehudi (IRE),2.88,Yehudi,WIN,1,2.88,1.88,C,0.1545,0.0271,0.0187,0.6634,,,1,2,Divine Wish,LOSE,4,-1.0,Yehudi,WIN,1,1.88,,,,0.0,Future Cutlet,LOSE,0,-1.0,1
